ETH,SOL,Amount of Nafflings
0xb0bBb513DB34e87349946995d35e950fF489F3Fc,CFYCxSw3UgaszVhGjezoGawxs6d4AAWNYqoeRbzbuLTF,1000
0xb400cf0eee394f6a88efb107b264aad95fa93bc9,AyzRKaG7LUNhihfNvQtG26rKNxfLMy1NHmuw94HzmRNX,1000
0xb538dd31ddd4533E8865e7A821d58b9C6CA780fB,GcMWHxpWEbPjJ5QEE5aJAhVGXKVHDVKL5Tysy3pzuzVM,500
0xb8CfbfEcD5252F23a0CD6e0743B8f94e806F6E4E,78FWMKWx6tFTw98o4K3uYhkKPsTRueqKBFSNq5Vyp4yz,1000
0xBDAD5bd483D474351022131BF0f0682315a85A1E,EyzJjnFDDZw9NAikg4fMUAotPSRh9C6z3oprUhXHp9MW,1000
0xBE3352Ae7C20161d4fb1D0Dc2aad099227B5F246,A3euc7BWZ8kepgkn9oDEN9KPEecuYZvUZnpkY2ePjGof,500
0xC00B44d028CE9aBd27093b5400B92C9328f30157,EJgeRLGHjFeHWMHsTjjk9yCXfDrcepLvmJvYKueqa8jK,500
0xc0FB3CB935D4876577A13c4881AA019921D8C179,9nDcFd8UJipBsg6gHABruevnEcJYp5g4E883XLXHzW65,500
0xc411f7fA7005C14569680aC09DA11bbc8dC8C474,61EjbR545CVVnf3QY568gQmiNY4QvAYmS2tMMcfXK6xg,500
0xc6f9eA6abA34Cd2470C3D8ec3065dCE02665b79d,3pLEFuuRVryELz2yCdWTsUrb8nc7BcRPRUjm7J5ZECRe,8000
0xC8CDA0D273994069C1d117f9bb2D8cd06ff0F08E,3cAEryzKWtn4eFLWqMFrAfRvrGNSsZWiBTEW8tuXdLLD,2000
0xc8Fc3727a4588D789DBDf07B1b3E2203E8634b05,Ef8KFm3qs6bfu3KCJn4iVdHfdSFiZE5A5zBEmbryXU3z,2000
0xCA4adCB4DB2167688ea6e67461D5B5E0796575cf,HiPUa8Cq7QajhnDJZNvCyKaL2v5fgJRCc5AYd2bFd9uD,2000
0xCC6236E1f7644e38fe9cAf00AFD005F7De2c7d70,44uoXmC5Hii3sE5arpqwhpzBffmiruTm96vSUQha91UZ,500
0xcD7D58633699a12635AbAB0DcCFe2E1005560239,AdxeVWvjy19CJ9ZVujsAMS5Ea3PWDFrHbXVzmDYVQAQ1,500
0xCD7d77cBB70f71D928231e7B18A62b95a04C3684,8uANxuNxUoX7sD92WGmYTWyHV7URxydVitRDvwu3KmPv,500
0xcf871d6fF6a1B00d9126D9B475dE47dd0C08C04F,HssWDr6HyZiZ8RNnKT43eXQeuyEYummHVwkebdBuiAdB,1000
0xCfb0BD8314B3cF3184D6D1CA605903197c911d84,EiSx4uiQXUapTd5YPxFtLdLXaFXy1SzHWtsmwxovPTWB,500
0xD022407Bd99e1b437313743D69fF6c3140a8CF31,3uAJTVezwurYueEtzJE7fBxNSCPV3FybFP4yhxDEQSGV,500
0xd04eA05A29f8E60439411afc4bdCe1DC64550a9d,7YhZ63ScKhXANAvkkbySFuisrvm3oPspKBgBcoJ4XQFy,1000
0xd2263A83F679EEaBB2b464F7dE488Ea8fc2B4d26,Dtomo9xx7JGEZWpuxj7YVbTBY24LVjM8YhFBmGCBg5Hd,500
0xd401e5B8E3D371FECA6c83f6d00a014637b7415b,86VfVMdfe7L2rKicsAUygJRpb5HmJGoF1bHHbFhXKhjW,1000
0xd5a5e357dEdd33842B5a73d6c06ee14152237952,GB2sqhTDY77vrEcy9eDb6ZBdQDmmWBtNEDYsUaWrFiXH,500
0xD6e6eD88dabf29c4e9d86B68cb373676a7DA3776,AhCfjCsHcfVrh9i2Xw9DYmRkSgcuA1HTnJcvYbNg6E3u,1000
0xd86598C571Fa31f575C6D1A121C9Ebdf3D6a6151,6NiqaMKM8YrVCzaWAxVbU416U9eMrCvHupfq7nh91LTB,8000
0xD9D15cD92e66F9f217ae2640c51e665b2eA2f62A,BchrdVKeUJ3SdoSRZqSGVvLL4qWkPqCmHtvHDL2R3XPL,500
0xD9DA9595d6524e38DFd3f37C15d2861e7c8c3143,8PQQnakPupDLW8E9cK2d4EJEQu7xb572iDJCx3D8fYR1,2000
0xDaB771470c1d3e504d3FaecB1C03fC2151281EcA,4r2EQcWWGe16LvJ67nYaeMUqU22PNmmPsKp1N8F2TzTL,1000
0xdb6a6bDDe24926D56fB0b3646Be424B6Bbb75361,CYR1TrzeMXxc76jHJAFo1YcBTTrgJk8tWjNWc1S4zgFn,500
0xdc7f9d6c3b904503587edb9cb29a21cb31ee1eeb,F7L8WVfKKvRtpmDLfqB9d1BzQk9b2RhjfRovcfpExGd8,1000
0xdd114ff1d5A891A14656A7d506a4F6cbb13808d7,87kr8vVZw51BgdjRHGo66s1ReChWUAzvAXBidBhL35XC,2000
0xe2d70f3254fc0f2f72e933191737d15c4907d6a2,Hp64b1qQWEEG3hjKcNiV8mzUkRpcKS2zYgP1sQaWbw3n,2000
0xe582B2F0e2dd5B4Cd9adAe496c3f5B3eB702c259,3C846PsAMerXpHR1cVW2dwDUyZgsMPJiPmmxkNty4kqT,500
0xe5E84ffD7396D1442C4Ab0A6796a3583b3D19Dc1,71rr9LSWQ9fqM3PvU5Qqn6B78GcgjPCubKkGqhW7fUPJ,2000
0xe69B2e32445510a609A89f4D7FD7B793D114185A,CNBQABn8uXLVNH2qDyvxW2BfFSdreSLZVsAQyym4B237,2000
0xeA77C54A446fBe5FefFca60231D2e7Fa458FBAdc,7mg33JT3Jea4APqeMnDHM9vX2U3GyHt5NfMgmPrJQd3G,1000
0xEBDFd7f9DAa044F164C52384dD38364e363BFe60,CgvZ8aAs1y5BrsrF6suSNtYEJuLnJwrdTVtfMHXBP76H,2000
0xef685F07214e20BBC8F84d0f02F6FAeE99E51385,2bZSrTmRADq22NjXisJopNjWAfBu8WAwbz9CKYiATdSe,8600
0xF4A4800b210d0D40fbBE0C259C794F3000206f1e,FhDQUsNrnPz53LSNnTPtMpdeYjTJ2hv4TVWe9bnhyX8p,500
0xf52E6c56F2fb7005b457Ee8F0563B5bE2A537b0A,4whVUnMvrRfY8ZwaTUtjKQLWMiN6M8kUnM8czuKHN29r,1000
0xf614895382e2c6fe7ad5f856d408159d55a4fe9d,6KMDCKQZJWroFeyBwJaZjhF1GRcr8qZDgPmze6cY8oWU,500
0xf68ceEC001992942D944FC3681790cF77fca716b,C8L8DaewjYspp9uH9fAJv1RUsXVTV8EUUWcXfeiPDAAN,1000
0xF7a287dF9074CcE9c6D71F89606e972C78937A8B,FCkHkFqYcjP5MtYX1hvjPfKAJ31RV6d2x1omFvbnRoVN,2000
0xf7e5F509C9Ec2fB3457cDFA9845a1610977Fedc6,HfyfnGE3TdfDAzMJnYAAeshYa3r5b7hnJYg58vCENr8F,2000
0xF7F31BEC6f6053Ba316B52745eC9B18bd46FEc45,Gjg5aTXYKfj1iDrTpv96zPJZvMJxCqn81rLNc91SzAfn,2000
0xFa63d52313beca2F19e2187B29b2Cc3f100a20CF,FVnuVD6ztFdcD27QFdRpNpg58jz66Cj35izsm7wjkMcj,2000
0xFB20Cd3A3Ca71bB7eed872acCE00B44b21E7A43C,55xeqAake1F1KfpQ9EvcokemyfN8W9KN6u3QRriiYM1f,2000
0xfbe71faeE698d78f504CB63e0Efc4beaf1CBfA2e,EyGfuZn13T85mPHdKNbVjBZiyCrfeM9MLPGeGFUF4Aho,500
0xFC63D3eeca90563Fe4F7C467c3Fe8BE750CEcf21,0xFC63D3eeca90563Fe4F7C467c3Fe8BE750CEcf21,500
0xFd6E015cBE8CF88C99F160F6A0F629a87E1a7456,4fRuC9R65gubFzn8m52UgyeS4P2UTmi1vnoc3zY7jjy2,500
0xfEC230eA40b619910A10318707e3c1336Da49DF7,4BMFBJjsZiPhfA9s2FZbRUppKiBEok9DRpDo1SRVPsSy,500
